@relation 'cellcycle0.names'
@attribute cln3-1                                  numeric
@attribute cln3-2                                  numeric
@attribute clb2-2                                  numeric
@attribute clb2-1                                  numeric
@attribute alpha0                                  numeric
@attribute alpha7                                  numeric
@attribute alpha14                                 numeric
@attribute alpha21                                 numeric
@attribute alpha28                                 numeric
@attribute alpha35                                 numeric
@attribute alpha42                                 numeric
@attribute alpha49                                 numeric
@attribute alpha56                                 numeric
@attribute alpha63                                 numeric
@attribute alpha70                                 numeric
@attribute alpha77                                 numeric
@attribute alpha84                                 numeric
@attribute alpha91                                 numeric
@attribute alpha98                                 numeric
@attribute alpha105                                numeric
@attribute alpha112                                numeric
@attribute alpha119                                numeric
@attribute cdc15_10                                numeric
@attribute cdc15_30                                numeric
@attribute cdc15_50                                numeric
@attribute cdc15_70                                numeric
@attribute cdc15_80                                numeric
@attribute cdc15_90                                numeric
@attribute cdc15_100                               numeric
@attribute cdc15_110                               numeric
@attribute cdc15_120                               numeric
@attribute cdc15_130                               numeric
@attribute cdc15_140                               numeric
@attribute cdc15_150                               numeric
@attribute cdc15_160                               numeric
@attribute cdc15_170                               numeric
@attribute cdc15_180                               numeric
@attribute cdc15_190                               numeric
@attribute cdc15_200                               numeric
@attribute cdc15_210                               numeric
@attribute cdc15_220                               numeric
@attribute cdc15_230                               numeric
@attribute cdc15_240                               numeric
@attribute cdc15_250                               numeric
@attribute cdc15_270                               numeric
@attribute cdc15_290                               numeric
@attribute cdc28_0                                 numeric
@attribute cdc28_10                                numeric
@attribute cdc28_20                                numeric
@attribute cdc28_30                                numeric
@attribute cdc28_40                                numeric
@attribute cdc28_50                                numeric
@attribute cdc28_60                                numeric
@attribute cdc28_70                                numeric
@attribute cdc28_80                                numeric
@attribute cdc28_90                                numeric
@attribute cdc28_100                               numeric
@attribute cdc28_110                               numeric
@attribute cdc28_120                               numeric
@attribute cdc28_130                               numeric
@attribute cdc28_140                               numeric
@attribute cdc28_150                               numeric
@attribute cdc28_160                               numeric
@attribute elu0                                    numeric
@attribute elu30                                   numeric
@attribute elu60                                   numeric
@attribute elu90                                   numeric
@attribute elu120                                  numeric
@attribute elu150                                  numeric
@attribute elu180                                  numeric
@attribute elu210                                  numeric
@attribute elu240                                  numeric
@attribute elu270                                  numeric
@attribute elu300                                  numeric
@attribute elu330                                  numeric
@attribute elu360                                  numeric
@attribute elu390                                  numeric
@attribute class {11.02.03.01,01.04,43.01.03.09,32.01,12.04.01,14.10,20.09.07.03,16.03.03,42.01,01.05,20.03,01.03.01.03,10.01.09.05,11.02.03.04,12.10,01.05.25,16.19.03,11.04.03.01,34.11.03.07,14.04,16.01,43.01.03.05,42.16,12.01.01,01.07.01,20.09.07,32.07,01.05.02.07,01.06,20.09.04,20.01.13,01.06.02.01,11.06.02,10.01.05.01,20.09.13,14.07.02.02,12.07,14.13,10.03.01,10,16.03.01,42.04,34.01.01.01,01.01,11,20.01.01.01,20.01.03,11.04.01,01.03.01,14.07.11,20.09.18,20.01.07,20.01.15,14.01,01.06.06.11,14.13.01.01,10.03.02,20.01.10,01.02,99,32.01.01,14.13.01,02.13.03,14.07.05,01.03.04,16.21.07,14.07,40.01,12.04,10.01.05,42.10,10.03.01.01,01.01.06,10.03.04,01.01.09,20.01,20.09,11.04,18.02,02,01}

@data
-0.15,-1.25,-0.315,0.07,0.01,0.07,0.17,-0.022,-0.1,0.08,0.64,0.39,0.33,-0.18,-0.54,-0.2,-0.04,-0.54,0.29,-0.46,0.06,0.03,-0.48,0.24,1.09,1,1.83,-0.66,0.25,-1.1,-0.1,-0.58,0.04,0.0516,0.99,-0.48,1.05,-0.87,0.58,-1.18,0.61,0.1,0.47,-1.26,-0.9,-0.63,0.53,-0.08,-0.25,1.95,2.39,1.68,0.38,-0.19,-0.51,-0.02,-1.02,-0.83,0.08,-1.66,-0.37,-1.83,-0.25,-0.2,0.05,0.03,0.29,0.32,0.09,0.14,-0.05,0.14,-0.16,0.12,-0.09,-0.29,-0.39,20.03
0.21,-0.34,-0.45,-0.01,-0.01,-0.7,-0.34,-0.45,-0.25,0,0.29,0.41,-0.05,0.05,-0.23,0.12,-0.08,0.37,-0.1,0.1,0.48,0.38,0.12125,0.62,0.0864,-0.1,0.34,-0.24,0.39,0.1,0.07,-0.15,-0.1675,0.09,0.03,-0.1,0.13,-0.1,-0.05,-0.59,0.34,0.44,0.09,-0.53,-0.28,-0.53,0.02,0.24,-0.23,-0.18,0.39,-0.13,0.27,0.13,0,-0.1,-0.14,-0.13,-0.04,0.0664286,-0.02,0.07,-0.17,-0.46,-0.15,-0.21,0.27,0.27,0.41,-0.07,-0.09,0.04,0.19,-0.13,-0.07,0.06,-0.09,11.02.03.01
0.72,-0.94,0.75,-0.0897802,0.1,0.38,0.28,-0.0453933,-0.39,-0.0440449,0.12,0.1,-0.15,0.27,-0.14,0.01,-0.06,-0.32,0.0334444,0.35,-0.59,0.05,-0.0647126,0.0220225,-0.0563636,0.0380899,0.111978,-0.0462222,0.0549451,-0.0658889,0.0864045,-0.0208889,-0.0164835,0.0942857,0.0855435,-0.0246154,0.0887778,-0.0680952,0.0851136,-0.0897802,0.148444,-0.114835,0.191889,-0.131522,-0.156591,-0.159101,-0.02,-1.06,-1.55,-0.81,-0.14,-0.58,-0.03,0.24,0.14,0.47,0.35,0.4,0.75,0.69,1.15,0.000470588,0.0187059,-1.41,0.26,-6.22,0.93,0.51,0.51,0.32,0.88,0.92,0.92,0.19,0.97,0.53,0.71,42.01
-0.38,0.07,0.15,0.19,-0.25,-0.76,-0.93,0.3,-0.25,0.22,0.6,0.46,0.26,0.4,-0.87,0,-0.05,0.17,-0.17,0.41,0.11,0.35,-0.0577124,-0.025414,-0.0236943,-0.0212338,-0.015375,-0.0658974,-0.00232704,-0.0191083,-0.0716352,0.0129448,-0.121242,0.111154,-0.104277,0.0572727,0.0456129,-0.0485161,0.000743243,-0.0107143,0.0569032,0.0779747,0.115,0.0275776,0.0346154,0.0552201,0.7,0.18,-0.39,0.16,0.86,0.73,0.92,0.8,0.1,-1.28,-0.98,-0.28,0.32,-0.43,-0.03,-0.87,-0.51,-1.18,0.02,0.2,0.1,-0.17,-0.12,0.21,0.26,0.16,0.09,0.27,0.28,-0.32,0.2,14.04
0.12,-0.36,-0.14,0.33,0.23,0.05,0.33,0.07,-0.1,-0.02,-0.08,-0.2,-0.28,-0.17,-0.09,-0.37,0.22,-0.200861,0.42,0.26,-0.21,-0.04,0.24,0.2,-0.57,-0.44,0.03,-0.12,0.5,-0.02,-0.01,0.03,-0.07,0.62,0.1,0.33,0.24,-0.24,-0.05,-0.07,0.21,-0.22,0.29,-0.44,-0.24,-0.28,-0.32,0.15,0.03,0.1,-0.03,-0.05,0.1,0.19,0.13,0.08,-0.09,-0.33,0.13,-0.0329412,0,0.2,-0.3,0.53,-0.35,0.16,0.47,-0.18,0.37,-0.11,-0.28,0.16,0.05,-0.07,0.13,-0.7,-0.18,16.01
5.54,-0.67,-0.217842,5.84,-0.19,-0.0397802,-0.09,-0.15,-0.28,-0.07,0.05,0.26,-0.21,0.17,0.0761458,-0.05,-0.28,-0.05,0.29,0.29,0.28,0.04,-0.3,-0.04,-0.08,-0.63,0.57,-1.15,0.31,-0.81,0.43,-0.84,0.78,0.152283,0.84,0.0939394,1.01,-0.0825,0.28,-0.84,0.75,0.83,0.89,-0.78,-0.41,-0.81,1.33,-0.12,0.29,-0.22,-0.03,-0.22,-0.44,-0.57,-0.12,0.22,0.06,-0.57,0.22,0.37,0.14,-0.03,-0.33,0.18,0.21,0.45,-0.11,0.01,-0.86,-0.07,-0.03,0.18,0.23,-0.45,0.21,-0.09,0.14,01.04
-0.47,-0.92,-0.2,0.39,-0.03,0.28,-0.37,-0.45,0.14,-0.25,-0.07,0.14,-0.02,0.28,-0.07,0.2,-0.17,0.05,-0.19,0.35,0.18,-0.02,0.62,0.83,0.6,0.1,-0.19,0.39,-0.46,0.26,-0.55,0.3,-0.26,-0.06,-0.19,-0.14,-0.21,0.36,0.08,0.18,-0.46,-0.26,-0.64,0.14,-0.1,-0.36,-0.33,0.08,-0.08,-0.2,-0.29,-0.19,0.05,0.24,0.05,0.82,-0.18,-0.4,0.14,0.15,0.14,0.0488514,0.0262162,-0.82,-0.21,-0.31,0.34,0.37,0.29,0.18,-0.43,0.36,0.31,-0.21,0.04,0.01,0.08,01.05
-0.2,-0.06,-0.09,0.44,-0.45,-0.64,0.08,-0.21,-0.03,-0.15,0.15,-0.01,-0.01,0.27,0.05,0.15,0.17,0.1,0.22,0.67,-0.42,0.05,-0.286667,-0.280645,-0.180645,0.0492857,0.0796774,-0.007,0.097,0.0444828,0.125333,-0.007,0.028,0.152414,0.0313333,0.0316129,0.104667,-0.183226,0.0255172,-0.0332258,0.167,-0.18,0.230667,0.0306667,-0.0664516,0.0496875,-0.3,-0.8,-0.51,-0.33,0.22,-0.12,0.18,0.17,0.01,0.51,0.19,0.13,0.01,0.0217391,0.16,-0.1,0.58,0.08,-0.28,-0.09,-0.28,0.02,-0.1,-0.09,-0.12,0.32,0.35,-0.09,0.42,0.03,-0.18,20.09.04
-0.36,-0.37575,-0.0563158,0.08,4.95,4.23,2.17,0.02,-0.68,-0.91,-0.7,-0.48,-1.04,-1.06,-1.18,-0.77,-1.25,-0.202821,-0.98,-0.69,-0.8,-0.84,-0.23,0.24,-0.01,-0.288108,-0.113784,-0.356579,-0.0130556,-0.0781579,-0.032973,0.0723684,0.131111,0.212778,0.133684,-0.0313889,0.0935294,-0.301842,-0.0934375,-0.141892,0.101765,0.19973,0.492973,0.1215,0.151351,0.188974,0.59,0.48,0.06,0.7,0.48,-0.11,-0.2,-0.02,-0.65,-1.3,0.184762,0.06,0.21,-0.3,-0.11,0.14,-0.02,0.11,-0.21,-0.19,-0.37,-0.02,0.24,0.84,-0.09,0.28,-0.11,0.37,-0.26,-0.32,-0.26,34.11.03.07
0.83,0.86,-1.36,-0.45,-0.91,-0.33,0.41,0.67,0.42,0.13,-0.06,-0.1,-0.84,0.19,-0.18,0.5,0.53,0.22,-0.35,0.16,-0.42,-0.03,0.31,0.49,0.58,-0.25,0.3,-1.43,-0.22,-1.55,0.09,-0.04,0.47,0.59,0.82,-0.03,0.8,-0.43,-0.17,-0.91,0.2,0.17,1.03,-0.22,-0.17,-0.43,-0.22,0.69,1.86,1.05,-0.04,-0.28,-0.86,-1.25,-0.58,0.44,0.39,0.53,0.15,-0.34,0.06,-0.84,-0.69,-0.97,-0.41,0.31,-0.36,0.34,0.38,0.11,0.42,0.06,-0.14,0.38,-0.19,-0.15,0.24,14.07
