@relation 'cellcycle0.names'
@attribute cln3-1                                  numeric
@attribute cln3-2                                  numeric
@attribute clb2-2                                  numeric
@attribute clb2-1                                  numeric
@attribute alpha0                                  numeric
@attribute alpha7                                  numeric
@attribute alpha14                                 numeric
@attribute alpha21                                 numeric
@attribute alpha28                                 numeric
@attribute alpha35                                 numeric
@attribute alpha42                                 numeric
@attribute alpha49                                 numeric
@attribute alpha56                                 numeric
@attribute alpha63                                 numeric
@attribute alpha70                                 numeric
@attribute alpha77                                 numeric
@attribute alpha84                                 numeric
@attribute alpha91                                 numeric
@attribute alpha98                                 numeric
@attribute alpha105                                numeric
@attribute alpha112                                numeric
@attribute alpha119                                numeric
@attribute cdc15_10                                numeric
@attribute cdc15_30                                numeric
@attribute cdc15_50                                numeric
@attribute cdc15_70                                numeric
@attribute cdc15_80                                numeric
@attribute cdc15_90                                numeric
@attribute cdc15_100                               numeric
@attribute cdc15_110                               numeric
@attribute cdc15_120                               numeric
@attribute cdc15_130                               numeric
@attribute cdc15_140                               numeric
@attribute cdc15_150                               numeric
@attribute cdc15_160                               numeric
@attribute cdc15_170                               numeric
@attribute cdc15_180                               numeric
@attribute cdc15_190                               numeric
@attribute cdc15_200                               numeric
@attribute cdc15_210                               numeric
@attribute cdc15_220                               numeric
@attribute cdc15_230                               numeric
@attribute cdc15_240                               numeric
@attribute cdc15_250                               numeric
@attribute cdc15_270                               numeric
@attribute cdc15_290                               numeric
@attribute cdc28_0                                 numeric
@attribute cdc28_10                                numeric
@attribute cdc28_20                                numeric
@attribute cdc28_30                                numeric
@attribute cdc28_40                                numeric
@attribute cdc28_50                                numeric
@attribute cdc28_60                                numeric
@attribute cdc28_70                                numeric
@attribute cdc28_80                                numeric
@attribute cdc28_90                                numeric
@attribute cdc28_100                               numeric
@attribute cdc28_110                               numeric
@attribute cdc28_120                               numeric
@attribute cdc28_130                               numeric
@attribute cdc28_140                               numeric
@attribute cdc28_150                               numeric
@attribute cdc28_160                               numeric
@attribute elu0                                    numeric
@attribute elu30                                   numeric
@attribute elu60                                   numeric
@attribute elu90                                   numeric
@attribute elu120                                  numeric
@attribute elu150                                  numeric
@attribute elu180                                  numeric
@attribute elu210                                  numeric
@attribute elu240                                  numeric
@attribute elu270                                  numeric
@attribute elu300                                  numeric
@attribute elu330                                  numeric
@attribute elu360                                  numeric
@attribute elu390                                  numeric
@attribute class {11.02.03.01,01.04,43.01.03.09,32.01,12.04.01,14.10,20.09.07.03,16.03.03,42.01,01.05,20.03,01.03.01.03,10.01.09.05,11.02.03.04,12.10,01.05.25,16.19.03,11.04.03.01,34.11.03.07,14.04,16.01,43.01.03.05,42.16,12.01.01,01.07.01,20.09.07,32.07,01.05.02.07,01.06,20.09.04,20.01.13,01.06.02.01,11.06.02,10.01.05.01,20.09.13,14.07.02.02,12.07,14.13,10.03.01,10,16.03.01,42.04,34.01.01.01,01.01,11,20.01.01.01,20.01.03,11.04.01,01.03.01,14.07.11,20.09.18,20.01.07,20.01.15,14.01,01.06.06.11,14.13.01.01,10.03.02,20.01.10,01.02,99,32.01.01,14.13.01,02.13.03,14.07.05,01.03.04,16.21.07,14.07,40.01,12.04,10.01.05,42.10,10.03.01.01,01.01.06,10.03.04,01.01.09,20.01,20.09,11.04,18.02,02,01}

@data
-0.6,1.01,0.24,0.65,-0.05,-0.53,-0.47,-0.06,0.11,-0.07,0.25,0.46,0.12,0.49,-0.42,0.28,-0.3,-0.18,-0.3,0.68,-0.24,0.22,-0.43,-1.33,-1.53,-1.53,-0.37,-1.65,-0.71,-1.53,-0.1,-1.15,-0.33,-1.15,-0.19,-0.84,0.52,-0.0825,1.18,0.88,1.8,2.24,2.34,1.43,1.27,1.18,1.55,1.58,1.34,0.01,0.53,-0.8,-0.16,-0.61,-0.9,-0.07,-0.96,-0.53,-0.66,0.0572674,-0.27,-0.41,0.35,-0.09,-0.02,-0.0752055,0.25,-0.45,-0.83,-0.26,-0.16,0.3,0.21,-0.43,0.21,0.6,0.65,01.04
-0.42,-0.34,-0.42,0.31,-0.26,-0.5,-0.06,-0.14,0.21,-0.08,0.32,-0.01,0.08,0,-0.12,0.08,0.06,-0.06,0.11,0.11,0.17,0.11,-0.06,-0.15,-0.03,0.11,-0.06,0.41,-0.67,0.29,-0.08,0.3,-0.19,0.23,-0.01,0.06,-0.17,0.07,0.11,0.27,0.0752,-0.29,-0.29,0.14,-0.06,0.11,0,-0.17,0.21,-0.2,0.26,-0.73,-0.04,0.21,-0.2,0.75,-0.14,0.06,-0.04,-0.21,0.0358824,0.05,0.2,-0.6,-0.27,-0.48,-0.07,-0.19,0.06,-0.08,0.23,0.49,0.33,0.06,0.16,0.24,0.11,20.09.07.03
-0.34,-1.12,-0.67,0.24,-0.39,0.97,0.28,-0.06,-0.29,-0.53,-0.27,-0.31,-0.25,0.34,0.05,0.07,-0.27,-0.17,0.02,0.37,0.26,0.19,-0.85,-0.41,-0.64,-0.56,0.53,-0.73,0.42,-0.6,0.43,-0.37,0.61,-0.39,0.73,-0.56,0.61,-0.0747101,0.29,-0.68,0.35,0.36,1.49,-0.03,-0.03,0.03,-0.18,-0.43,-0.1,-0.38,-0.36,-0.12,-0.16,-0.12,0.09,0.91,0.35,0.25,0.19,0.22,-0.06,-0.25,0.15,1.57,0.13,-0.0776821,0.67,-0.61,-0.71,-0.85,-0.29,-0.09,-0.68,-1.39,0.5,0.68,1.07,01.05
-1.29,-0.64,0.21,0.07,0,0.39,0.06,-0.2,-0.33,-0.63,-0.3,-0.21,0.51,0.13,-0.12,0.09,-0.23,-0.01,0.17,0.46,0.17,0.04,0.102727,0.285455,0.163636,-0.64,-0.35,-0.53,0.39,-0.06,0.29,-0.05,-0.3,-0.25,-0.05,-0.18,-0.02,-0.247273,-0.04,0.09,0.56,0.49,0.39,0.25,-0.120909,-0.0391667,-0.13,-0.29,0.38,0.41,0.63,-0.15,0.21,0.11,-0.36,0.05,-0.34,-0.15,-0.13,-0.098,-0.05,-0.22,0.04,-0.13,0.07,-0.232727,0.09,0.25,-0.5,-0.21,-0.04,0.02,0.26,-0.02,0.34,-0.01,-0.14,01.03.01.03
0.26,-0.29,0.03,0.57,0.18,0.03,0,0.26,-0.1,0.05,0.28,0.28,0.4,-0.3,-0.2,-0.07,-0.02,-0.16,0.07,-0.14,-0.2,-0.36,-0.0663878,-0.0112687,-0.49,-0.44,0.25,-0.7,0.34,-0.04,0.51,-0.33,0.13,-0.12,-0.02,0.1,0.37,-0.0825,0.15,-0.39,0.8,0.03,0.35,-0.49,-0.0493077,-0.0774074,0.55,-0.29,-0.29,-0.01,0.13,-0.81,-0.21,0.29,0.16,0.45,0.17,0.25,0.17,-0.61,0.04,0.0457455,0.0343796,0.62,0.15,0,0.15,0.03,-0.38,-0.02,-0.19,-0.41,0.31,-0.13,-0.06,-0.25,0.19,01.04
0.36,-0.49,-0.1,0.21,-0.34,-0.27,-0.06,0.21,-0.48,0.29,0.15,0.33,-0.04,0.35,-0.46,0.24,0.13,-0.06,-0.67,0.47,-0.13,0.33,-0.293636,0.0954545,-0.0861905,-0.0954545,-0.0157143,-0.264762,-0.00136364,-0.0531818,0.0547619,0.068,-0.01,0.191,-0.0705,0.0731579,0.200476,-0.197619,0.0527778,-0.126364,0.77,0.0809524,0.283,-0.77,0.0328571,0.0652381,-0.25,-0.09,0.34,-0.01,0.16,-0.11,-0.22,0.02,-0.22,-0.09,-0.01,0.04,-0.02,-0.014,0.01,0.27,0.17,-0.53,-0.13,-0.2,0.04,0.08,-0.01,0.22,0.23,0.05,0.08,0.04,0.12,-0.36,0.37,01.05.25
0.45,-0.32,-0.81,-0.12,-0.39,-0.58,1.08,1.21,0.52,-0.33,-0.58,-0.08,-1.02,0.51,0.11,0.34,0.39,0.1,-0.47,-0.05,-0.53,-0.24,0.305,1.7,1.5,-1.44,-0.62,-2.06,-0.255,-1.62,-0.2,0.31,1.22,1.48,0.87,1.44,0.09,-1.62,-0.13,-2.35,0.03,-0.13,0.65,0.45,0.5,0.23,-0.52,0.75,1.63,0.29,-0.06,-0.36,-0.5,-0.9,-0.65,0.86,1.06,0.59,0.16,-0.575,-0.54,-0.88,-0.94,-0.59,-0.72,-0.3,0.25,0.79,0.7,0.59,0.36,0.12,0.31,-0.2,-0.47,-0.59,-0.24,10
-0.56,0.08,-0.22,0.08,-0.16,-0.2,0.23,-0.09,-0.14,-0.28,0.15,-0.01,0.2,0.05,0.25,0.05,-0.05,-0.3,0,-0.05,0.38,-0.03,-0.0725984,-0.21,-0.23,-0.15,-0.5,0.02,-0.28,0.08,-0.5,0,-0.41,0.17,-0.5,0.04,-0.23,0.13,-0.7,0.19,-0.01,0.89,0.17,0.88,0.46,0.66,-0.14,-0.29,-0.52,-0.6,-0.06,-0.45,-0.01,-0.11,-0.1,0.84,0.4,0.29,-0.05,0.0317442,0.16,0.15,0.48,0.21,-0.19,-0.18,-0.53,-0.3,0,-0.45,0.28,0.21,-0.05,-0.05,0.38,0.36,0.3,43.01.03.05
-0.09,0.14,-0.69,-0.2,0.15,-0.07,-0.09,0,0.02,-0.46,-0.11,-0.14,-0.02,0.03,-0.03,0.41,0.13,0.11,0.1,0.03,-0.12,0.05,0.75,0.91,0.93,-0.44,-0.4,-0.4,0.07,-0.19,0.22,0.25,0.43,0.41,0.07,-0.69,-0.19,-0.24,-0.91,-0.98,-0.11,0.09,0.04,0.38,0,-0.02,-0.82,-0.18,0.45,-0.49,-0.4,0.05,0.19,-0.06,-0.08,0.62,0.34,0.25,0.06,0.0317442,-0.11,-0.24,0.41,-0.02,-0.27,-0.11,0.16,0.38,0.19,0.1,-0.33,0.11,0.27,-0.29,-0.02,-0.12,-0.04,43.01.03.05
-0.51,-0.4,0.15,-0.23,0.02,-0.55,-0.14,-0.34,0.09,-0.55,-0.08,0.08,0.26,-0.15,0.42,0.13,0.04,-0.03,0.36,0.63,-0.25,0.08,-0.181158,-0.105625,-0.0440415,-0.15,0.37,-0.2,0.43,-0.19,0.23,-0.08,0.05,-0.17,0.04,-0.23,-0.05,-0.0711917,-0.2,-0.11,0.18,0.4,-0.14,-0.18,0.00953608,0.154444,-0.29,-0.3,0.01,-0.45,0.29,-1,0.01,-0.38,-0.79,1.51,0.35,0.152155,-0.64,0.28,0.59,0.33,0.47,-0.81,-0.23,0.03,0.25,0.45,0.01,0.13,0.33,0.18,0.13,-0.21,0.09,-0.02,-0.33,12.01.01
